                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.19419,                0.20442,                0.25493,                0.87604,                0.95274,                0.98889,                0.96406,                0.96341,                0.95274,                0.98889,                0.96406,                0.96068,                0.13002,                0.12242,                0.19489,                 0.7544,               0.000359,               0.000359,               0.000359
                     74,                0.18056,                0.19045,                0.25592,                0.86033,                0.92309,                0.98437,                0.97118,                0.97003,                0.92309,                0.98437,                0.97118,                0.96778,                0.11724,                0.12379,                0.21888,                0.75195,             0.00034663,             0.00034663,             0.00034663
                     75,                0.17797,                0.20613,                0.25786,                0.85915,                0.94581,                 0.9879,                0.95911,                0.95317,                0.94581,                 0.9879,                0.95911,                0.95571,                0.11954,                0.12197,                0.18052,                 0.7541,             0.00033425,             0.00033425,             0.00033425
                     76,                0.18184,                0.21273,                0.25643,                0.86446,                0.93383,                0.98328,                0.96289,                0.95708,                0.93383,                0.98328,                0.96289,                0.95784,                0.11204,                0.12453,                0.19976,                 0.7513,             0.00032188,             0.00032188,             0.00032188
                     77,                0.17084,                0.18791,                0.25312,                 0.8573,                0.94953,                0.96222,                0.96278,                0.96194,                0.94953,                0.96222,                0.96278,                0.95833,                0.10624,                0.12166,                0.20484,                 0.7503,              0.0003095,              0.0003095,              0.0003095
                     78,                0.17691,                0.21538,                0.24437,                0.85938,                0.94613,                0.98472,                 0.9557,                0.95502,                0.94613,                0.98472,                 0.9557,                0.95109,                0.10656,                0.12408,                0.19103,                0.74869,             0.00029713,             0.00029713,             0.00029713
                     79,                0.17448,                0.19529,                0.23163,                0.86574,                0.94055,                0.98518,                0.95756,                0.95691,                0.94055,                0.98518,                0.95756,                0.95354,                0.10572,                0.12309,                0.18198,                0.74667,             0.00028475,             0.00028475,             0.00028475
                     80,                0.16808,                0.17485,                0.25016,                0.85777,                 0.9462,                0.98652,                0.96028,                0.95962,                 0.9462,                0.98652,                0.96028,                0.95603,                0.10949,                0.12251,                0.17357,                0.74872,             0.00027237,             0.00027237,             0.00027237
                     81,                0.17269,                0.19305,                 0.2386,                 0.8613,                 0.9486,                0.98696,                0.95769,                0.95705,                 0.9486,                0.98696,                0.95769,                0.95367,                0.11119,                0.11981,                0.17242,                0.75099,                0.00026,                0.00026,                0.00026
                     82,                0.17535,                0.19729,                0.23641,                0.85821,                0.94707,                0.98657,                0.95283,                0.95215,                0.94707,                0.98657,                0.95283,                0.94864,                0.10309,                0.12137,                0.17539,                0.74924,             0.00024762,             0.00024762,             0.00024762
                     83,                0.17294,                0.20394,                0.22882,                0.86445,                0.95026,                0.98581,                0.96171,                0.96171,                0.95026,                0.98581,                0.96171,                0.95668,                0.10535,                0.12264,                0.18357,                0.74656,             0.00023525,             0.00023525,             0.00023525
                     84,                0.17014,                0.18914,                 0.2347,                0.85584,                0.95158,                0.98616,                0.95692,                0.95618,                0.95158,                0.98616,                0.95692,                 0.9529,                0.10226,                0.12113,                0.17409,                0.74761,             0.00022288,             0.00022288,             0.00022288
                     85,                0.16915,                0.18976,                0.22781,                0.85812,                0.95425,                0.98629,                0.95692,                0.95639,                0.95425,                0.98629,                0.95692,                0.95231,                0.10799,                0.12039,                0.17434,                0.75055,              0.0002105,              0.0002105,              0.0002105
                     86,                0.16435,                0.17824,                0.21873,                0.85541,                0.95223,                0.98583,                0.95495,                0.95428,                0.95223,                0.98583,                0.95495,                0.95076,                0.09797,                0.11926,                0.16763,                0.74601,             0.00019813,             0.00019813,             0.00019813
                     87,                0.16023,                0.18772,                0.23185,                0.85608,                0.95419,                0.98628,                0.95053,                0.95053,                0.95419,                0.98628,                0.95053,                0.94673,                 0.0985,                0.11917,                0.16996,                0.74352,             0.00018575,             0.00018575,             0.00018575
                     88,                0.16513,                0.19418,                0.23681,                0.85818,                0.95178,                0.98613,                 0.9493,                 0.9493,                0.95178,                0.98613,                 0.9493,                0.94551,                0.10693,                0.12111,                 0.1822,                0.74697,             0.00017338,             0.00017338,             0.00017338
                     89,                0.16494,                0.18957,                0.23534,                0.85685,                0.94876,                0.98566,                0.95364,                0.95364,                0.94876,                0.98566,                0.95364,                0.94946,                0.10202,                0.11978,                0.17535,                0.74277,               0.000161,               0.000161,               0.000161
                     90,                0.11108,                0.12451,                0.19917,                0.80765,                 0.9471,                0.98663,                0.95649,                0.95649,                 0.9471,                0.98663,                0.95649,                  0.952,                0.10573,                0.12232,                0.17588,                0.74549,             0.00014862,             0.00014862,             0.00014862
                     91,                0.11988,                0.12502,                 0.2053,                0.82561,                0.94922,                0.98423,                0.95628,                0.95563,                0.94922,                0.98423,                0.95628,                0.95181,                0.10403,                0.12068,                0.17579,                0.74753,             0.00013625,             0.00013625,             0.00013625
                     92,                0.11435,                0.12161,                0.19841,                0.81746,                0.94457,                0.98617,                0.94851,                0.94851,                0.94457,                0.98617,                0.94851,                 0.9448,                0.10469,                0.12061,                0.17873,                0.74543,             0.00012387,             0.00012387,             0.00012387
                     93,                0.11249,                0.12253,                0.20064,                0.82015,                0.94626,                0.98172,                0.96428,                0.96428,                0.94626,                0.98172,                0.96428,                 0.9597,                0.10379,                   0.12,                0.18028,                0.74585,              0.0001115,              0.0001115,              0.0001115
                     94,                0.10724,                0.12195,                0.19067,                0.79887,                0.94333,                0.98889,                0.95657,                0.95657,                0.94333,                0.98889,                0.95657,                0.95277,                0.09966,                0.12006,                0.17969,                0.74461,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.10332,                0.11941,                0.18596,                0.80745,                0.93941,                 0.9829,                0.95255,                0.95255,                0.93941,                 0.9829,                0.95255,                0.94847,                0.10202,                0.11997,                0.18574,                0.74443,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.10252,                 0.1228,                0.18353,                0.81434,                0.94882,                 0.9804,                0.94975,                0.94975,                0.94882,                 0.9804,                0.94975,                0.94563,                 0.0933,                0.12044,                0.19013,                0.74144,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.09559,                0.12032,                0.18174,                0.80512,                0.94789,                0.97955,                0.95181,                0.95181,                0.94789,                0.97955,                0.95181,                0.94769,                0.09409,                0.12086,                0.18779,                0.74263,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.09414,                 0.1192,                0.16993,                0.80842,                0.95001,                0.98031,                0.95267,                0.95267,                0.95001,                0.98031,                0.95267,                0.94857,                0.08443,                0.11986,                0.17466,                0.73916,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.09284,                0.12022,                0.17781,                0.80039,                0.94765,                  0.984,                0.95261,                0.95261,                0.94765,                  0.984,                0.95261,                0.94851,                0.08268,                0.11917,                0.16247,                0.73881,              3.725e-05,              3.725e-05,              3.725e-05
